database,partition_level,region,k_iteration,classifier,confidence_threshold,sensitivity,MC,OC,EPQ,N_known,N_novel,N
unite,gen,ITS1,2,spingo,0.8,0.1515420027703088,0.8484579972296912,0.013383035932534832,0.7291615741872403,98184,16364,114548
unite,gen,ITS2,2,spingo,0.2,0.5067387653107206,0.4932612346892794,0.1809635000614477,0.4486472725995892,97644,16274,113918
unite,gen,ITS2,2,spingo,0.4,0.4375793699561673,0.5624206300438327,0.10427676047683422,0.4969715058199758,97644,16274,113918
unite,gen,ITS2,2,spingo,0.6,0.38204088320838964,0.6179591167916103,0.06531891360452255,0.539010516336312,97644,16274,113918
unite,gen,ITS2,2,spingo,0.8,0.32655360288394575,0.6734463971160543,0.03846626520830773,0.5827349497006619,97644,16274,113918
unite,fam,Full,2,spingo,0.2,0.7047232372445527,0.2952767627554473,0.19944060991564036,0.26789500480121675,110835,44334,155169
unite,fam,Full,2,spingo,0.4,0.6394370009473542,0.3605629990526458,0.12981007804393918,0.29463359305015824,110835,44334,155169
unite,fam,Full,2,spingo,0.6,0.5547796273740244,0.4452203726259755,0.08343483556638245,0.34185307632323464,110835,44334,155169
unite,fam,Full,2,spingo,0.8,0.45514503541300133,0.5448549645869987,0.04892407632967925,0.4031604250849074,110835,44334,155169
unite,fam,ITS1,2,spingo,0.2,0.09535807820825432,0.9046419217917457,0.024880339564706946,0.6532814697268775,110730,44292,155022
unite,fam,ITS1,2,spingo,0.4,0.08366296396640477,0.9163370360335953,0.014472139438273277,0.6586613512920747,110730,44292,155022
unite,fam,ITS1,2,spingo,0.6,0.07046870766729883,0.9295312923327012,0.008218188386164544,0.666298976919405,110730,44292,155022
unite,fam,ITS1,2,spingo,0.8,0.057924681658087236,0.9420753183419127,0.004357446039916915,0.6741559262556283,110730,44292,155022
unite,fam,ITS2,2,spingo,0.2,0.3645762481295062,0.6354237518704938,0.1071509545186596,0.4844886669128269,110265,44106,154371
unite,fam,ITS2,2,spingo,0.4,0.3236657144152723,0.6763342855847277,0.06368748016142928,0.501292341178071,110265,44106,154371
unite,fam,ITS2,2,spingo,0.6,0.2815399265406067,0.7184600734593933,0.03525597424386705,0.5232589022549572,110265,44106,154371
unite,fam,ITS2,2,spingo,0.8,0.22919330703305674,0.7708066929669433,0.014351788872262277,0.5546767203684629,110265,44106,154371
unite,gen,Full,3,spingo,0.2,0.6275439698492462,0.3724560301507538,0.3190326633165829,0.36482412060301506,95520,15920,111440
unite,gen,Full,3,spingo,0.4,0.5772089614740369,0.42279103852596317,0.1974246231155779,0.39059583632447953,95520,15920,111440
unite,gen,Full,3,spingo,0.6,0.5210322445561139,0.4789677554438861,0.11978643216080402,0.4276561378320172,95520,15920,111440
unite,gen,Full,3,spingo,0.8,0.46424832495812396,0.535751675041876,0.06909547738693467,0.46908650394831297,95520,15920,111440
unite,gen,ITS1,3,spingo,0.2,0.03306079664570231,0.9669392033542977,0.0022641509433962265,0.8291284815813118,95400,15900,111300
unite,gen,ITS1,3,spingo,0.4,0.03234800838574423,0.9676519916142557,0.0010691823899371068,0.8295687331536388,95400,15900,111300
unite,gen,ITS1,3,spingo,0.6,0.03207547169811321,0.9679245283018868,0.0005031446540880503,0.8297214734950584,95400,15900,111300
unite,gen,ITS1,3,spingo,0.8,0.03174004192872117,0.9682599580712788,0.00025157232704402514,0.8299730458221024,95400,15900,111300
unite,gen,ITS2,3,spingo,0.2,0.5082326650222418,0.4917673349777581,0.15539814053507053,0.44371459291451704,94866,15811,110677
unite,gen,ITS2,3,spingo,0.4,0.44748381928193454,0.5525161807180655,0.08253747391056859,0.48537636545985163,94866,15811,110677
unite,gen,ITS2,3,spingo,0.6,0.40168237303143384,0.5983176269685662,0.045474669533868826,0.5193400616207523,94866,15811,110677
unite,gen,ITS2,3,spingo,0.8,0.35267640672105915,0.6473235932789408,0.0248561128328379,0.5583996675009261,94866,15811,110677
unite,fam,Full,3,spingo,0.2,0.6544778400407539,0.34552215995924607,0.2160213958227203,0.3085219416345244,98150,39260,137410
unite,fam,Full,3,spingo,0.4,0.5578706062149771,0.4421293937850229,0.1282475802343352,0.35244887562768357,98150,39260,137410
unite,fam,Full,3,spingo,0.6,0.4580030565461029,0.5419969434538972,0.07913907284768212,0.4097518375664071,98150,39260,137410
unite,fam,Full,3,spingo,0.8,0.3628527763627101,0.6371472236372898,0.047784004075394806,0.4687577323338913,98150,39260,137410
unite,fam,ITS1,3,spingo,0.2,0.07908400061202632,0.9209159993879736,0.021624929871984496,0.6639756938119767,98035,39214,137249
unite,fam,ITS1,3,spingo,0.4,0.06547661549446626,0.9345233845055337,0.009766919977559034,0.6703072517832552,98035,39214,137249
unite,fam,ITS1,3,spingo,0.6,0.054337736522670474,0.9456622634773295,0.00400367215790279,0.676616951671779,98035,39214,137249
unite,fam,ITS1,3,spingo,0.8,0.04628959045238945,0.9537104095476105,0.0015810679859233948,0.6816734548157,98035,39214,137249
unite,fam,ITS2,3,spingo,0.2,0.27598199672667756,0.7240180032733224,0.1034676759410802,0.5467179097498246,97760,39104,136864
unite,fam,ITS2,3,spingo,0.4,0.22854950900163667,0.7714504909983634,0.059277823240589195,0.5679725859247136,97760,39104,136864
unite,fam,ITS2,3,spingo,0.6,0.1858633387888707,0.8141366612111293,0.033193535188216036,0.5910100537760112,97760,39104,136864
unite,fam,ITS2,3,spingo,0.8,0.149468085106383,0.850531914893617,0.0166990589198036,0.6122939560439561,97760,39104,136864
unite,gen,Full,4,spingo,0.2,0.601331282486475,0.398668717513525,0.31033202503447543,0.3860491900165179,113124,18854,131978
unite,gen,Full,4,spingo,0.4,0.5312577348750044,0.46874226512499556,0.1798026943884587,0.4274651835912046,113124,18854,131978
unite,gen,Full,4,spingo,0.6,0.4510713906863265,0.5489286093136735,0.10586612920335207,0.4856339692979133,113124,18854,131978
unite,gen,Full,4,spingo,0.8,0.37910611364520347,0.6208938863547965,0.060623740320356424,0.5408552940641622,113124,18854,131978
unite,gen,ITS1,4,spingo,0.2,0.03710978976428116,0.9628902102357189,0.0026014015714589086,0.8257060947122531,113016,18836,131852
unite,gen,ITS1,4,spingo,0.4,0.036384228781765414,0.9636157712182346,0.0006370779358674878,0.8260473864636108,113016,18836,131852
unite,gen,ITS1,4,spingo,0.6,0.03572945423656827,0.9642705457634317,0.0003716287959227012,0.826570700482359,113016,18836,131852
unite,gen,ITS1,4,spingo,0.8,0.03422524244354782,0.9657747575564521,0.00021235931195582927,0.8278372720929527,113016,18836,131852
unite,gen,ITS2,4,spingo,0.2,0.20829556965399584,0.7917044303460041,0.08903342752039238,0.691322858513774,112542,18757,131299
unite,gen,ITS2,4,spingo,0.4,0.16403653747045546,0.8359634625295446,0.05054113131097723,0.7237602723554635,112542,18757,131299
unite,gen,ITS2,4,spingo,0.6,0.13497183273800004,0.8650281672619999,0.02996214746494642,0.7457330215767066,112542,18757,131299
unite,gen,ITS2,4,spingo,0.8,0.11624104778660412,0.8837589522133958,0.015300954310390788,0.759693523941538,112542,18757,131299
unite,fam,Full,4,spingo,0.2,0.6930939347492884,0.3069060652507116,0.21333479308079703,0.28017141605930745,114175,45670,159845
unite,fam,Full,4,spingo,0.4,0.6157652726078389,0.38423472739216114,0.13034814977008977,0.31169570521442647,114175,45670,159845
unite,fam,Full,4,spingo,0.6,0.5285657981169257,0.4714342018830742,0.07856360849573024,0.35918546091526166,114175,45670,159845
unite,fam,Full,4,spingo,0.8,0.4285263849354062,0.5714736150645938,0.04525947011167068,0.42112671650661576,114175,45670,159845
unite,fam,ITS1,4,spingo,0.2,0.1188215178219124,0.8811784821780876,0.015520189398921478,0.6338475413840401,114045,45618,159663
unite,fam,ITS1,4,spingo,0.4,0.09920645359288001,0.90079354640712,0.006642114954623175,0.6453217088492638,114045,45618,159663
unite,fam,ITS1,4,spingo,0.6,0.07581217940286729,0.9241878205971327,0.0032443333771756764,0.6610611099628593,114045,45618,159663
unite,fam,ITS1,4,spingo,0.8,0.05506598272611688,0.9449340172738832,0.001709851374457451,0.6754413984454758,114045,45618,159663
unite,fam,ITS2,4,spingo,0.2,0.6012519837771116,0.39874801622288836,0.11964380179862458,0.319003954958813,113420,45368,158788
unite,fam,ITS2,4,spingo,0.4,0.5132075471698113,0.4867924528301887,0.06281960853464998,0.3656573544600348,113420,45368,158788
unite,fam,ITS2,4,spingo,0.6,0.4294216187621231,0.570578381237877,0.035134896843590196,0.417594528553795,113420,45368,158788
unite,fam,ITS2,4,spingo,0.8,0.3428319520366778,0.6571680479633222,0.01855933697760536,0.4747084162531174,113420,45368,158788
