database,partition_level,k_iteration,conf,max_hits,classifier,sensitivity,MC,OC,EPQ
unite,gen,1,0.4,20,BLAST,0.7796666666666666,0.22033333333333333,0.011,0.19042857142857142
unite,gen,1,0.4,20,SINTAX,0.7935,0.2065,0.0,0.177
unite,gen,1,0.4,20,Consensus,0.7933333333333333,0.20666666666666667,0.218,0.2082857142857143
unite,gen,1,0.6,5,RDP,0.7898333333333334,0.21016666666666667,0.127,0.1982857142857143
unite,gen,1,0.6,5,BLAST,0.7978333333333333,0.20216666666666666,0.052,0.18071428571428572
unite,gen,1,0.6,5,SINTAX,0.7765,0.2235,0.0,0.19157142857142856
unite,gen,1,0.6,5,Consensus,0.8016666666666666,0.19833333333333333,0.165,0.19357142857142856
unite,gen,1,0.6,20,RDP,0.7898333333333334,0.21016666666666667,0.126,0.19814285714285715
unite,gen,1,0.6,20,BLAST,0.7693333333333333,0.23066666666666666,0.003,0.19814285714285715
unite,gen,1,0.6,20,SINTAX,0.7765,0.2235,0.0,0.19157142857142856
unite,gen,1,0.6,20,Consensus,0.7983333333333333,0.20166666666666666,0.126,0.19085714285714286
unite,gen,1,0.8,1,RDP,0.7726666666666666,0.22733333333333333,0.071,0.205
unite,gen,1,0.8,1,BLAST,0.8125,0.1875,0.45,0.225
unite,gen,1,0.8,1,SINTAX,0.7453333333333333,0.25466666666666665,0.0,0.21828571428571428
unite,gen,1,0.8,1,Consensus,0.8125,0.1875,0.447,0.22457142857142856
unite,gen,1,0.8,3,RDP,0.7726666666666666,0.22733333333333333,0.071,0.205
unite,gen,1,0.8,3,BLAST,0.7895,0.2105,0.016,0.18271428571428572
unite,gen,1,0.8,3,SINTAX,0.7453333333333333,0.25466666666666665,0.0,0.21828571428571428
unite,gen,1,0.8,3,Consensus,0.806,0.194,0.083,0.17814285714285713
unite,gen,1,0.8,5,RDP,0.7726666666666666,0.22733333333333333,0.072,0.20514285714285715
unite,gen,1,0.8,5,BLAST,0.7858333333333334,0.21416666666666667,0.008,0.18471428571428572
unite,gen,1,0.8,5,SINTAX,0.7453333333333333,0.25466666666666665,0.0,0.21828571428571428
unite,gen,1,0.8,5,Consensus,0.8031666666666667,0.19683333333333333,0.078,0.17985714285714285
unite,gen,1,0.8,10,RDP,0.7726666666666666,0.22733333333333333,0.071,0.205
unite,gen,1,0.8,10,BLAST,0.7726666666666666,0.22733333333333333,0.0,0.19485714285714287
unite,gen,1,0.8,10,SINTAX,0.7453333333333333,0.25466666666666665,0.0,0.21828571428571428
unite,gen,1,0.8,10,Consensus,0.7995,0.2005,0.071,0.182
unite,gen,1,0.8,20,RDP,0.7726666666666666,0.22733333333333333,0.071,0.205
unite,gen,1,0.8,20,BLAST,0.7561666666666667,0.24383333333333335,0.0,0.209
unite,gen,1,0.8,20,SINTAX,0.7453333333333333,0.25466666666666665,0.0,0.21828571428571428
unite,gen,1,0.8,20,Consensus,0.7956666666666666,0.20433333333333334,0.071,0.18528571428571428
unite,gen,1,1.0,5,RDP,0.6785,0.3215,0.026,0.2792857142857143
unite,gen,1,1.0,5,BLAST,0.7686666666666667,0.23133333333333334,0.001,0.19842857142857143
unite,gen,1,1.0,5,SINTAX,0.5746666666666667,0.42533333333333334,0.0,0.36457142857142855
unite,gen,1,1.0,5,Consensus,0.7891666666666667,0.21083333333333334,0.026,0.18442857142857144
unite,gen,1,1.0,20,RDP,0.6785,0.3215,0.026,0.2792857142857143
unite,gen,1,1.0,20,BLAST,0.6951666666666667,0.30483333333333335,0.0,0.2612857142857143
unite,gen,1,1.0,20,SINTAX,0.5746666666666667,0.42533333333333334,0.0,0.36457142857142855
unite,gen,1,1.0,20,Consensus,0.7636666666666667,0.23633333333333334,0.026,0.2062857142857143
unite,gen,2,0.2,5,RDP,0.7861666666666667,0.21383333333333332,0.396,0.23985714285714285
unite,gen,2,0.2,5,BLAST,0.7813333333333333,0.21866666666666668,0.802,0.302
unite,gen,2,0.2,5,SINTAX,0.7903333333333333,0.20966666666666667,0.0,0.17971428571428572
unite,gen,2,0.2,5,Consensus,0.784,0.216,0.566,0.266
unite,gen,2,0.2,20,RDP,0.7861666666666667,0.21383333333333332,0.396,0.23985714285714285
unite,gen,2,0.2,20,BLAST,0.7563333333333333,0.24366666666666667,0.166,0.23257142857142857
unite,gen,2,0.2,20,SINTAX,0.7903333333333333,0.20966666666666667,0.0,0.17971428571428572
unite,gen,2,0.2,20,Consensus,0.7758333333333334,0.22416666666666665,0.453,0.25685714285714284
unite,gen,2,0.4,5,RDP,0.7806666666666666,0.21933333333333332,0.25,0.22371428571428573
unite,gen,2,0.4,5,BLAST,0.7851666666666667,0.21483333333333332,0.3,0.227
unite,gen,2,0.4,5,SINTAX,0.777,0.223,0.0,0.19114285714285714
unite,gen,2,0.4,5,Consensus,0.7883333333333333,0.21166666666666667,0.42,0.24142857142857144
unite,gen,2,0.4,20,RDP,0.7806666666666666,0.21933333333333332,0.251,0.22385714285714287
unite,gen,2,0.4,20,BLAST,0.7616666666666667,0.23833333333333334,0.016,0.20657142857142857
unite,gen,2,0.4,20,SINTAX,0.777,0.223,0.0,0.19114285714285714
unite,gen,2,0.4,20,Consensus,0.7791666666666667,0.22083333333333333,0.252,0.22528571428571428
unite,gen,2,0.6,5,RDP,0.7735,0.2265,0.161,0.21714285714285714
unite,gen,2,0.6,5,BLAST,0.7856666666666666,0.21433333333333332,0.062,0.19257142857142856
unite,gen,2,0.6,5,SINTAX,0.7541666666666667,0.24583333333333332,0.0,0.21071428571428572
unite,gen,2,0.6,5,Consensus,0.7923333333333333,0.20766666666666667,0.203,0.207
unite,gen,2,0.6,20,RDP,0.7735,0.2265,0.161,0.21714285714285714
unite,gen,2,0.6,20,BLAST,0.7505,0.2495,0.005,0.21457142857142858
unite,gen,2,0.6,20,SINTAX,0.7541666666666667,0.24583333333333332,0.0,0.21071428571428572
unite,gen,2,0.6,20,Consensus,0.7805,0.2195,0.162,0.2112857142857143
unite,gen,2,0.8,1,RDP,0.7475,0.2525,0.096,0.23014285714285715
unite,gen,2,0.8,1,BLAST,0.8038333333333333,0.19616666666666666,0.537,0.24485714285714286
unite,gen,2,0.8,1,SINTAX,0.7168333333333333,0.2831666666666667,0.0,0.24271428571428572
unite,gen,2,0.8,1,Consensus,0.8031666666666667,0.19683333333333333,0.537,0.24542857142857144
unite,gen,2,0.8,3,RDP,0.7478333333333333,0.25216666666666665,0.096,0.22985714285714287
unite,gen,2,0.8,3,BLAST,0.7711666666666667,0.22883333333333333,0.019,0.19885714285714284
unite,gen,2,0.8,3,SINTAX,0.7168333333333333,0.2831666666666667,0.0,0.24271428571428572
unite,gen,2,0.8,3,Consensus,0.7883333333333333,0.21166666666666667,0.107,0.1967142857142857
unite,gen,2,0.8,5,RDP,0.7478333333333333,0.25216666666666665,0.096,0.22985714285714287
unite,gen,2,0.8,5,BLAST,0.7703333333333333,0.22966666666666666,0.008,0.198
unite,gen,2,0.8,5,SINTAX,0.7168333333333333,0.2831666666666667,0.0,0.24271428571428572
unite,gen,2,0.8,5,Consensus,0.7836666666666666,0.21633333333333332,0.099,0.19957142857142857
unite,gen,2,0.8,10,RDP,0.7478333333333333,0.25216666666666665,0.096,0.22985714285714287
unite,gen,2,0.8,10,BLAST,0.7543333333333333,0.24566666666666667,0.002,0.21085714285714285
unite,gen,2,0.8,10,SINTAX,0.7168333333333333,0.2831666666666667,0.0,0.24271428571428572
unite,gen,2,0.8,10,Consensus,0.7776666666666666,0.22233333333333333,0.096,0.2042857142857143
unite,gen,2,0.8,20,RDP,0.7475,0.2525,0.096,0.23014285714285715
unite,gen,2,0.8,20,BLAST,0.7355,0.2645,0.0,0.2267142857142857
unite,gen,2,0.8,20,SINTAX,0.7168333333333333,0.2831666666666667,0.0,0.24271428571428572
unite,gen,2,0.8,20,Consensus,0.7741666666666667,0.22583333333333333,0.096,0.2072857142857143
unite,gen,2,1.0,5,RDP,0.6305,0.3695,0.026,0.32042857142857145
unite,gen,2,1.0,5,BLAST,0.7483333333333333,0.25166666666666665,0.001,0.21585714285714286
unite,gen,2,1.0,5,SINTAX,0.5356666666666666,0.4643333333333333,0.0,0.398
unite,gen,2,1.0,5,Consensus,0.7611666666666667,0.23883333333333334,0.027,0.20857142857142857
unite,gen,2,1.0,20,RDP,0.6305,0.3695,0.026,0.32042857142857145
unite,gen,2,1.0,20,BLAST,0.6836666666666666,0.31633333333333336,0.0,0.27114285714285713
unite,gen,2,1.0,20,SINTAX,0.5356666666666666,0.4643333333333333,0.0,0.398
unite,gen,2,1.0,20,Consensus,0.733,0.267,0.026,0.23257142857142857
unite,gen,3,0.2,5,RDP,0.8003333333333333,0.19966666666666666,0.353,0.22157142857142856
unite,gen,3,0.2,5,BLAST,0.7908333333333334,0.20916666666666667,0.701,0.2794285714285714
unite,gen,3,0.2,5,SINTAX,0.7991666666666667,0.20083333333333334,0.0,0.17214285714285715
unite,gen,3,0.2,5,Consensus,0.7941666666666667,0.20583333333333334,0.478,0.24471428571428572
unite,gen,3,0.2,20,RDP,0.8003333333333333,0.19966666666666666,0.352,0.22142857142857142
unite,gen,3,0.2,20,BLAST,0.7733333333333333,0.22666666666666666,0.198,0.22257142857142856
unite,gen,3,0.2,20,SINTAX,0.7991666666666667,0.20083333333333334,0.0,0.17214285714285715
unite,gen,3,0.2,20,Consensus,0.7866666666666666,0.21333333333333335,0.449,0.247
unite,gen,3,0.4,5,RDP,0.7963333333333333,0.20366666666666666,0.231,0.20757142857142857
unite,gen,3,0.4,5,BLAST,0.7931666666666667,0.20683333333333334,0.267,0.21542857142857144
unite,gen,3,0.4,5,SINTAX,0.7905,0.2095,0.0,0.17957142857142858
unite,gen,3,0.4,5,Consensus,0.795,0.205,0.377,0.22957142857142857
unite,gen,3,0.4,20,RDP,0.7963333333333333,0.20366666666666666,0.231,0.20757142857142857
unite,gen,3,0.4,20,BLAST,0.7811666666666667,0.21883333333333332,0.017,0.19
unite,gen,3,0.4,20,SINTAX,0.7905,0.2095,0.0,0.17957142857142858
unite,gen,3,0.4,20,Consensus,0.794,0.206,0.244,0.21142857142857144
unite,gen,3,0.6,5,RDP,0.787,0.213,0.148,0.2037142857142857
unite,gen,3,0.6,5,BLAST,0.7936666666666666,0.20633333333333334,0.041,0.18271428571428572
unite,gen,3,0.6,5,SINTAX,0.7693333333333333,0.23066666666666666,0.0,0.1977142857142857
unite,gen,3,0.6,5,Consensus,0.7985,0.2015,0.179,0.1982857142857143
unite,gen,3,0.6,20,RDP,0.787,0.213,0.148,0.2037142857142857
unite,gen,3,0.6,20,BLAST,0.7705,0.2295,0.004,0.1972857142857143
unite,gen,3,0.6,20,SINTAX,0.7693333333333333,0.23066666666666666,0.0,0.1977142857142857
unite,gen,3,0.6,20,Consensus,0.795,0.205,0.152,0.19742857142857143
unite,gen,3,0.8,1,RDP,0.769,0.231,0.092,0.21114285714285713
unite,gen,3,0.8,1,BLAST,0.807,0.193,0.47,0.23257142857142857
unite,gen,3,0.8,1,SINTAX,0.742,0.258,0.0,0.22114285714285714
unite,gen,3,0.8,1,Consensus,0.8076666666666666,0.19233333333333333,0.466,0.23142857142857143
unite,gen,3,0.8,3,RDP,0.769,0.231,0.093,0.2112857142857143
unite,gen,3,0.8,3,BLAST,0.7836666666666666,0.21633333333333332,0.015,0.18757142857142858
unite,gen,3,0.8,3,SINTAX,0.742,0.258,0.0,0.22114285714285714
unite,gen,3,0.8,3,Consensus,0.7986666666666666,0.20133333333333334,0.104,0.18742857142857142
unite,gen,3,0.8,5,RDP,0.769,0.231,0.093,0.2112857142857143
unite,gen,3,0.8,5,BLAST,0.7861666666666667,0.21383333333333332,0.007,0.18428571428571427
unite,gen,3,0.8,5,SINTAX,0.742,0.258,0.0,0.22114285714285714
unite,gen,3,0.8,5,Consensus,0.7975,0.2025,0.097,0.18742857142857142
unite,gen,3,0.8,10,RDP,0.769,0.231,0.092,0.21114285714285713
unite,gen,3,0.8,10,BLAST,0.7755,0.2245,0.0,0.19242857142857142
unite,gen,3,0.8,10,SINTAX,0.742,0.258,0.0,0.22114285714285714
unite,gen,3,0.8,10,Consensus,0.7945,0.2055,0.092,0.18928571428571428
unite,gen,3,0.8,20,RDP,0.769,0.231,0.092,0.21114285714285713
unite,gen,3,0.8,20,BLAST,0.7551666666666667,0.24483333333333332,0.0,0.20985714285714285
unite,gen,3,0.8,20,SINTAX,0.742,0.258,0.0,0.22114285714285714
unite,gen,3,0.8,20,Consensus,0.791,0.209,0.092,0.19228571428571428
unite,gen,3,1.0,5,RDP,0.6836666666666666,0.31633333333333336,0.026,0.27485714285714286
unite,gen,3,1.0,5,BLAST,0.7696666666666667,0.23033333333333333,0.003,0.19785714285714287
unite,gen,3,1.0,5,SINTAX,0.5833333333333334,0.4166666666666667,0.0,0.35714285714285715
unite,gen,3,1.0,5,Consensus,0.7846666666666666,0.21533333333333332,0.029,0.18871428571428572
unite,gen,3,1.0,20,RDP,0.6836666666666666,0.31633333333333336,0.027,0.275
unite,gen,3,1.0,20,BLAST,0.7038333333333333,0.2961666666666667,0.0,0.25385714285714284
unite,gen,3,1.0,20,SINTAX,0.5833333333333334,0.4166666666666667,0.0,0.35714285714285715
unite,gen,3,1.0,20,Consensus,0.7581666666666667,0.24183333333333334,0.027,0.21114285714285713
unite,gen,4,0.2,5,RDP,0.7803333333333333,0.21966666666666668,0.38,0.24257142857142858
unite,gen,4,0.2,5,BLAST,0.7843333333333333,0.21566666666666667,0.702,0.28514285714285714
unite,gen,4,0.2,5,SINTAX,0.7841666666666667,0.21583333333333332,0.0,0.185
unite,gen,4,0.2,5,Consensus,0.7816666666666666,0.21833333333333332,0.515,0.26071428571428573
unite,gen,4,0.2,20,RDP,0.7803333333333333,0.21966666666666668,0.381,0.24271428571428572
unite,gen,4,0.2,20,BLAST,0.7508333333333334,0.24916666666666668,0.183,0.2397142857142857
unite,gen,4,0.2,20,SINTAX,0.7841666666666667,0.21583333333333332,0.0,0.185
unite,gen,4,0.2,20,Consensus,0.7695,0.2305,0.429,0.25885714285714284
unite,gen,4,0.4,5,RDP,0.7758333333333334,0.22416666666666665,0.237,0.226
unite,gen,4,0.4,5,BLAST,0.7838333333333334,0.21616666666666667,0.263,0.22285714285714286
unite,gen,4,0.4,5,SINTAX,0.7673333333333333,0.23266666666666666,0.0,0.19942857142857143
unite,gen,4,0.4,5,Consensus,0.781,0.219,0.389,0.2432857142857143
unite,gen,4,0.4,20,RDP,0.7758333333333334,0.22416666666666665,0.237,0.226
unite,gen,4,0.4,20,BLAST,0.7561666666666667,0.24383333333333335,0.018,0.21157142857142858
unite,gen,4,0.4,20,SINTAX,0.7673333333333333,0.23266666666666666,0.0,0.19942857142857143
unite,gen,4,0.4,20,Consensus,0.7725,0.2275,0.241,0.22942857142857143
unite,gen,4,0.6,5,RDP,0.7653333333333333,0.23466666666666666,0.148,0.22228571428571428
unite,gen,4,0.6,5,BLAST,0.7825,0.2175,0.06,0.195
unite,gen,4,0.6,5,SINTAX,0.7465,0.2535,0.0,0.21728571428571428
unite,gen,4,0.6,5,Consensus,0.7826666666666666,0.21733333333333332,0.19,0.21342857142857144
unite,gen,4,0.6,20,RDP,0.7653333333333333,0.23466666666666666,0.148,0.22228571428571428
unite,gen,4,0.6,20,BLAST,0.7461666666666666,0.25383333333333336,0.005,0.21828571428571428
unite,gen,4,0.6,20,SINTAX,0.7465,0.2535,0.0,0.21728571428571428
unite,gen,4,0.6,20,Consensus,0.7743333333333333,0.22566666666666665,0.149,0.21471428571428572
unite,gen,4,0.8,1,RDP,0.743,0.257,0.089,0.233
unite,gen,4,0.8,1,BLAST,0.8001666666666667,0.19983333333333334,0.495,0.242
unite,gen,4,0.8,1,SINTAX,0.7096666666666667,0.29033333333333333,0.0,0.24885714285714286
unite,gen,4,0.8,1,Consensus,0.7983333333333333,0.20166666666666666,0.494,0.24342857142857144
unite,gen,4,0.8,3,RDP,0.743,0.257,0.089,0.233
unite,gen,4,0.8,3,BLAST,0.7615,0.2385,0.02,0.2072857142857143
unite,gen,4,0.8,3,SINTAX,0.7096666666666667,0.29033333333333333,0.0,0.24885714285714286
unite,gen,4,0.8,3,Consensus,0.7813333333333333,0.21866666666666668,0.105,0.20242857142857143
unite,gen,4,0.8,5,RDP,0.743,0.257,0.089,0.233
unite,gen,4,0.8,5,BLAST,0.7638333333333334,0.23616666666666666,0.008,0.20357142857142857
unite,gen,4,0.8,5,SINTAX,0.7096666666666667,0.29033333333333333,0.0,0.24885714285714286
unite,gen,4,0.8,5,Consensus,0.7785,0.2215,0.094,0.2032857142857143
unite,gen,4,0.8,10,RDP,0.743,0.257,0.089,0.233
unite,gen,4,0.8,10,BLAST,0.7505,0.2495,0.003,0.21428571428571427
unite,gen,4,0.8,10,SINTAX,0.7096666666666667,0.29033333333333333,0.0,0.24885714285714286
unite,gen,4,0.8,10,Consensus,0.7735,0.2265,0.09,0.207
unite,gen,4,0.8,20,RDP,0.743,0.257,0.089,0.233
unite,gen,4,0.8,20,BLAST,0.73,0.27,0.005,0.23214285714285715
unite,gen,4,0.8,20,SINTAX,0.7096666666666667,0.29033333333333333,0.0,0.24885714285714286
unite,gen,4,0.8,20,Consensus,0.7681666666666667,0.23183333333333334,0.091,0.21171428571428572
unite,gen,4,1.0,5,RDP,0.6471666666666667,0.35283333333333333,0.022,0.30557142857142855
unite,gen,4,1.0,5,BLAST,0.7388333333333333,0.26116666666666666,0.001,0.224
unite,gen,4,1.0,5,SINTAX,0.5478333333333333,0.45216666666666666,0.0,0.38757142857142857
unite,gen,4,1.0,5,Consensus,0.7595,0.2405,0.023,0.20942857142857144
unite,gen,4,1.0,20,RDP,0.6471666666666667,0.35283333333333333,0.022,0.30557142857142855
unite,gen,4,1.0,20,BLAST,0.6781666666666667,0.32183333333333336,0.0,0.27585714285714286
unite,gen,4,1.0,20,SINTAX,0.5478333333333333,0.45216666666666666,0.0,0.38757142857142857
unite,gen,4,1.0,20,Consensus,0.7306666666666667,0.2693333333333333,0.022,0.234
