database,partition_level,k_iteration,conf,max_hits,classifier,sensitivity,MC,OC,EPQ
unite,fam,1,0.4,20,BLAST,0.7264,0.2736,0.199,0.2522857142857143
unite,fam,1,0.4,20,SINTAX,0.741,0.259,0.0605,0.2022857142857143
unite,fam,1,0.4,20,Consensus,0.7468,0.2532,0.3075,0.26871428571428574
unite,fam,1,0.6,5,RDP,0.7308,0.2692,0.0915,0.21842857142857142
unite,fam,1,0.6,5,BLAST,0.7462,0.2538,0.1655,0.22857142857142856
unite,fam,1,0.6,5,SINTAX,0.7096,0.2904,0.03,0.216
unite,fam,1,0.6,5,Consensus,0.755,0.245,0.222,0.23842857142857143
unite,fam,1,0.6,20,RDP,0.7308,0.2692,0.0915,0.21842857142857142
unite,fam,1,0.6,20,BLAST,0.7252,0.2748,0.083,0.22
unite,fam,1,0.6,20,SINTAX,0.7096,0.2904,0.03,0.216
unite,fam,1,0.6,20,Consensus,0.7482,0.2518,0.1585,0.22514285714285714
unite,fam,1,0.8,1,RDP,0.693,0.307,0.057,0.23557142857142857
unite,fam,1,0.8,1,BLAST,0.7674,0.2326,0.411,0.2835714285714286
unite,fam,1,0.8,1,SINTAX,0.6614,0.3386,0.018,0.247
unite,fam,1,0.8,1,Consensus,0.7654,0.2346,0.409,0.2844285714285714
unite,fam,1,0.8,3,RDP,0.693,0.307,0.056,0.2352857142857143
unite,fam,1,0.8,3,BLAST,0.7252,0.2748,0.0475,0.20985714285714285
unite,fam,1,0.8,3,SINTAX,0.6614,0.3386,0.018,0.247
unite,fam,1,0.8,3,Consensus,0.7524,0.2476,0.0945,0.20385714285714285
unite,fam,1,0.8,5,RDP,0.693,0.307,0.057,0.23557142857142857
unite,fam,1,0.8,5,BLAST,0.7312,0.2688,0.064,0.2102857142857143
unite,fam,1,0.8,5,SINTAX,0.6614,0.3386,0.018,0.247
unite,fam,1,0.8,5,Consensus,0.75,0.25,0.1025,0.20785714285714285
unite,fam,1,0.8,10,RDP,0.693,0.307,0.057,0.23557142857142857
unite,fam,1,0.8,10,BLAST,0.725,0.275,0.0395,0.2077142857142857
unite,fam,1,0.8,10,SINTAX,0.6614,0.3386,0.018,0.247
unite,fam,1,0.8,10,Consensus,0.749,0.251,0.085,0.20357142857142857
unite,fam,1,0.8,20,RDP,0.693,0.307,0.057,0.23557142857142857
unite,fam,1,0.8,20,BLAST,0.7136,0.2864,0.028,0.21257142857142858
unite,fam,1,0.8,20,SINTAX,0.6614,0.3386,0.018,0.247
unite,fam,1,0.8,20,Consensus,0.7438,0.2562,0.076,0.2047142857142857
unite,fam,1,1.0,5,RDP,0.5466,0.4534,0.0185,0.3291428571428571
unite,fam,1,1.0,5,BLAST,0.7034,0.2966,0.021,0.21785714285714286
unite,fam,1,1.0,5,SINTAX,0.4796,0.5204,0.004,0.37285714285714283
unite,fam,1,1.0,5,Consensus,0.721,0.279,0.037,0.20985714285714285
unite,fam,1,1.0,20,RDP,0.5466,0.4534,0.0185,0.3291428571428571
unite,fam,1,1.0,20,BLAST,0.6334,0.3666,0.0015,0.2622857142857143
unite,fam,1,1.0,20,SINTAX,0.4796,0.5204,0.004,0.37285714285714283
unite,fam,1,1.0,20,Consensus,0.6884,0.3116,0.019,0.228
unite,fam,2,0.2,5,RDP,0.76,0.24,0.241,0.2402857142857143
unite,fam,2,0.2,5,BLAST,0.764,0.236,0.616,0.3445714285714286
unite,fam,2,0.2,5,SINTAX,0.7634,0.2366,0.1255,0.20485714285714285
unite,fam,2,0.2,5,Consensus,0.7622,0.2378,0.544,0.3252857142857143
unite,fam,2,0.2,20,RDP,0.76,0.24,0.241,0.2402857142857143
unite,fam,2,0.2,20,BLAST,0.7368,0.2632,0.5265,0.3384285714285714
unite,fam,2,0.2,20,SINTAX,0.7634,0.2366,0.1255,0.20485714285714285
unite,fam,2,0.2,20,Consensus,0.7578,0.2422,0.5895,0.3414285714285714
unite,fam,2,0.4,5,RDP,0.7542,0.2458,0.1495,0.21828571428571428
unite,fam,2,0.4,5,BLAST,0.7654,0.2346,0.4085,0.2842857142857143
unite,fam,2,0.4,5,SINTAX,0.7498,0.2502,0.0515,0.19342857142857142
unite,fam,2,0.4,5,Consensus,0.759,0.241,0.4275,0.29428571428571426
unite,fam,2,0.4,20,RDP,0.7542,0.2458,0.15,0.21842857142857142
unite,fam,2,0.4,20,BLAST,0.7382,0.2618,0.239,0.2552857142857143
unite,fam,2,0.4,20,SINTAX,0.7498,0.2502,0.0515,0.19342857142857142
unite,fam,2,0.4,20,Consensus,0.7566,0.2434,0.337,0.27014285714285713
unite,fam,2,0.6,5,RDP,0.7416,0.2584,0.0885,0.20985714285714285
unite,fam,2,0.6,5,BLAST,0.7646,0.2354,0.1485,0.21057142857142858
unite,fam,2,0.6,5,SINTAX,0.7172,0.2828,0.035,0.212
unite,fam,2,0.6,5,Consensus,0.7608,0.2392,0.215,0.2322857142857143
unite,fam,2,0.6,20,RDP,0.7416,0.2584,0.0885,0.20985714285714285
unite,fam,2,0.6,20,BLAST,0.7304,0.2696,0.066,0.21142857142857144
unite,fam,2,0.6,20,SINTAX,0.7172,0.2828,0.035,0.212
unite,fam,2,0.6,20,Consensus,0.7564,0.2436,0.155,0.21828571428571428
unite,fam,2,0.8,1,RDP,0.7032,0.2968,0.0555,0.22785714285714287
unite,fam,2,0.8,1,BLAST,0.763,0.237,0.387,0.27985714285714286
unite,fam,2,0.8,1,SINTAX,0.6792,0.3208,0.0245,0.23614285714285715
unite,fam,2,0.8,1,Consensus,0.7654,0.2346,0.3885,0.2785714285714286
unite,fam,2,0.8,3,RDP,0.7032,0.2968,0.0555,0.22785714285714287
unite,fam,2,0.8,3,BLAST,0.7348,0.2652,0.0495,0.20357142857142857
unite,fam,2,0.8,3,SINTAX,0.6792,0.3208,0.0245,0.23614285714285715
unite,fam,2,0.8,3,Consensus,0.7592,0.2408,0.111,0.2037142857142857
unite,fam,2,0.8,5,RDP,0.7032,0.2968,0.0555,0.22785714285714287
unite,fam,2,0.8,5,BLAST,0.7402,0.2598,0.0555,0.20142857142857143
unite,fam,2,0.8,5,SINTAX,0.6792,0.3208,0.0245,0.23614285714285715
unite,fam,2,0.8,5,Consensus,0.7582,0.2418,0.1125,0.20485714285714285
unite,fam,2,0.8,10,RDP,0.7032,0.2968,0.0555,0.22785714285714287
unite,fam,2,0.8,10,BLAST,0.727,0.273,0.03,0.20357142857142857
unite,fam,2,0.8,10,SINTAX,0.6792,0.3208,0.0245,0.23614285714285715
unite,fam,2,0.8,10,Consensus,0.7556,0.2444,0.09,0.2002857142857143
unite,fam,2,0.8,20,RDP,0.7032,0.2968,0.0555,0.22785714285714287
unite,fam,2,0.8,20,BLAST,0.707,0.293,0.017,0.21414285714285713
unite,fam,2,0.8,20,SINTAX,0.6792,0.3208,0.0245,0.23614285714285715
unite,fam,2,0.8,20,Consensus,0.7466,0.2534,0.081,0.20414285714285715
unite,fam,2,1.0,5,RDP,0.5452,0.4548,0.0175,0.32985714285714285
unite,fam,2,1.0,5,BLAST,0.699,0.301,0.016,0.21957142857142858
unite,fam,2,1.0,5,SINTAX,0.4948,0.5052,0.0115,0.36414285714285716
