,,UNITE,UNITE,UNITE,UNITE,UNITE,UNITE,UNITE,UNITE,UNITE,SILVA,SILVA,SILVA,SILVA,SILVA,SILVA,SILVA,SILVA,SILVA
,,Full,Full,Full,ITS1,ITS1,ITS1,ITS2,ITS2,ITS2,Full,Full,Full,V3-4,V3-4,V3-4,V4,V4,V4
Partition Level,Classifier,EPQ,MC,OC,EPQ,MC,OC,EPQ,MC,OC,EPQ,MC,OC,EPQ,MC,OC,EPQ,MC,OC
"fam","BLAST","20.3±0.7 (F)","26.4±0.8 (I)","5.1±0.6 (H)","40.3±1.4 (F)","54.2±2.1 (I)","5.7±0.8 (H)","37.9±1.9 (F)","50.4±2.6 (I)","6.7±1.5 (H)","26.3±2.9 (B)","26.4±1.8 (A)","26.5±6.5 (E)","27.9±1.2 (B)","31.2±1 (A)","20.8±4 (E)","28.6±2.7 (B)","33.1±3.5 (A)","18.8±4.1 (E)"
"fam","RDP","23.4±1.2 (D)","30.3±1.7 (E)","6.2±0.8 (E)","32.4±1.6 (D)","44.2±2.3 (E)","2.9±0.5 (E)","30.7±2.1 (D)","41.6±2.8 (E)","3.2±0.7 (E)","26.5±3.6 (C)","29.7±2.3 (C)","19.3±6.2 (CD)","29.8±3.5 (C)","35.7±3.4 (C)","16.4±4.1 (CD)","29.6±2.4 (C)","38.3±3.1 (C)","9.8±5.5 (CD)"
"fam","SINTAX","23.7±1 (B)","32.3±1.5 (C)","2.1±0.4 (D)","28.5±1.4 (B)","39±1.9 (C)","2.3±0.3 (D)","26.3±1.7 (B)","35.7±2.1 (C)","2.7±0.8 (D)","22.8±2.3 (B)","31.9±1.6 (E)","1.8±1.3 (B)","29.9±3 (B)","39.6±3.4 (E)","7.9±3.4 (B)","30.4±1.6 (B)","39.4±1.4 (E)","9.8±3.7 (B)"
"fam","UTAX","31.1±2 (H)","43.2±2.8 (K)","0.7±0.1 (A)","38.7±0.9 (H)","53.8±1.3 (K)","1±0.1 (A)","36.4±1.6 (H)","50.4±2.2 (K)","1.2±0.2 (A)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"fam","mothur-wang","30.2±2.4 (I)","39±2.6 (J)","7.9±2 (F)","40.4±1.7 (I)","55.5±2.4 (J)","2.7±0.8 (F)","37.6±1.7 (I)","51.1±2.7 (J)","3.7±1 (F)","32.5±11.6 (D)","39.3±19.5 (E)","15.6±9.4 (C)","29.7±2.9 (D)","34.6±3.6 (E)","17.4±4.9 (C)","30±1.9 (D)","37.6±3.1 (E)","10.8±5 (C)"
"fam","mothur-knn=3","28.7±2.6 (E)","36.6±3.6 (F)","9±1.9 (I)","32.3±1.8 (E)","41.7±2.6 (F)","8.6±1.1 (I)","30.6±2.5 (E)","39.3±3.2 (F)","8.9±1.8 (I)","25.6±1.9 (D)","28.8±2.3 (D)","17.7±4.3 (D)","32.6±2.9 (D)","39.2±4.2 (D)","16±2.6 (D)","32.3±2.6 (D)","39.8±3.6 (D)","13.5±2.3 (D)"
"fam","qiime2-Naive-Bayes","32.2±2.6 (G)","36.3±2.9 (H)","21.8±2.9 (K)","36.1±1.2 (G)","44.5±2.2 (H)","15.3±1.8 (K)","35.1±1.2 (G)","41.6±3 (H)","18.9±3.5 (K)","66.3±20.4 (E)","66.6±22.4 (F)","65.6±23.8 (G)","31.3±2.1 (E)","33.2±4 (F)","26.6±5.6 (G)","29.6±2 (E)","32.7±2 (F)","21.8±3.4 (G)"
