"","database","partition_level","region","k_iteration","classifier","Metric","value"
"97","unite","gen","Full",3,"CBC","sensitivity",0.769032663316583
"98","unite","gen","Full",3,"CBC","MC",0.230967336683417
"99","unite","gen","Full",3,"CBC","OC",0.000628140703517588
"100","unite","gen","Full",3,"CBC","EPQ",0.198061737257717
"101","unite","gen","ITS1",3,"CBC","sensitivity",0.676300638762817
"102","unite","gen","ITS1",3,"CBC","MC",0.323699361237183
"103","unite","gen","ITS1",3,"CBC","OC",0.00914019162884518
"104","unite","gen","ITS1",3,"CBC","EPQ",0.27876233700742
"105","unite","gen","ITS2",3,"CBC","sensitivity",0.720868666413534
"106","unite","gen","ITS2",3,"CBC","MC",0.279131333586466
"107","unite","gen","ITS2",3,"CBC","OC",0.00531578281230224
"108","unite","gen","ITS2",3,"CBC","EPQ",0.240014826333014
"109","unite","gen","Full",4,"CBC","sensitivity",0.756223259432128
"110","unite","gen","Full",4,"CBC","MC",0.243776740567872
"111","unite","gen","Full",4,"CBC","OC",0.00159117428662353
"112","unite","gen","Full",4,"CBC","EPQ",0.209178802527694
"113","unite","gen","ITS1",4,"CBC","sensitivity",0.673931169061558
"114","unite","gen","ITS1",4,"CBC","MC",0.326068830938442
"115","unite","gen","ITS1",4,"CBC","OC",0.00989888238424694
"116","unite","gen","ITS1",4,"CBC","EPQ",0.2809016954307
"117","unite","gen","ITS2",4,"CBC","sensitivity",0.707246376811594
"118","unite","gen","ITS2",4,"CBC","MC",0.292753623188406
"119","unite","gen","ITS2",4,"CBC","OC",0.00613496932515337
"120","unite","gen","ITS2",4,"CBC","EPQ",0.251808101207941
"121","unite","fam","Full",0,"UTAX","sensitivity",0.566594237888299
"122","unite","fam","Full",0,"UTAX","MC",0.433405762111701
"123","unite","fam","Full",0,"UTAX","OC",0.00710204410107838
"124","unite","fam","Full",0,"UTAX","EPQ",0.311604699822952
"125","unite","fam","Full",0,"CU","sensitivity",0.721575728311605
"126","unite","fam","Full",0,"CU","MC",0.278424271688395
"127","unite","fam","Full",0,"CU","OC",0.0548647996137132
"128","unite","fam","Full",0,"CU","EPQ",0.214550136809915
"129","unite","fam","ITS1",0,"UTAX","sensitivity",0.468052807945416
"130","unite","fam","ITS1",0,"UTAX","MC",0.531947192054584
"131","unite","fam","ITS1",0,"UTAX","OC",0.0110016552949251
"132","unite","fam","ITS1",0,"UTAX","EPQ",0.383105610123253
"133","unite","fam","ITS1",0,"CU","sensitivity",0.619330614881505
"134","unite","fam","ITS1",0,"CU","MC",0.380669385118495
"135","unite","fam","ITS1",0,"CU","OC",0.0423916993015463
"136","unite","fam","ITS1",0,"CU","EPQ",0.284018617742224
"137","unite","fam","ITS2",0,"UTAX","sensitivity",0.493742152375552
"138","unite","fam","ITS2",0,"UTAX","MC",0.506257847624448
"139","unite","fam","ITS2",0,"UTAX","OC",0.00996395155737373
"140","unite","fam","ITS2",0,"UTAX","EPQ",0.364459591605284
"141","unite","fam","ITS2",0,"CU","sensitivity",0.647940378306128
"142","unite","fam","ITS2",0,"CU","MC",0.352059621693872
"143","unite","fam","ITS2",0,"CU","OC",0.0330511563854348
"144","unite","fam","ITS2",0,"CU","EPQ",0.260914345891461
"145","unite","fam","Full",1,"UTAX","sensitivity",0.526057687045044
"146","unite","fam","Full",1,"UTAX","MC",0.473942312954956
"147","unite","fam","Full",1,"UTAX","OC",0.0079087077882984
"148","unite","fam","Full",1,"UTAX","EPQ",0.340789854335911
"149","unite","fam","Full",1,"CU","sensitivity",0.711696130479996
"150","unite","fam","Full",1,"CU","MC",0.288303869520004
"151","unite","fam","Full",1,"CU","OC",0.0658420447704012
"152","unite","fam","Full",1,"CU","EPQ",0.224743348162975
"153","unite","fam","ITS1",1,"UTAX","sensitivity",0.441175824175824
"154","unite","fam","ITS1",1,"UTAX","MC",0.558824175824176
"155","unite","fam","ITS1",1,"UTAX","OC",0.00947802197802198
"156","unite","fam","ITS1",1,"UTAX","EPQ",0.401868131868132
"157","unite","fam","ITS1",1,"CU","sensitivity",0.604131868131868
"158","unite","fam","ITS1",1,"CU","MC",0.395868131868132
"159","unite","fam","ITS1",1,"CU","OC",0.045467032967033
"160","unite","fam","ITS1",1,"CU","EPQ",0.295753532182104
"161","unite","fam","ITS2",1,"UTAX","sensitivity",0.474918817766525
"162","unite","fam","ITS2",1,"UTAX","MC",0.525081182233475
"163","unite","fam","ITS2",1,"UTAX","OC",0.0151631900489845
"164","unite","fam","ITS2",1,"UTAX","EPQ",0.37939032732362
"165","unite","fam","ITS2",1,"CU","sensitivity",0.634817546370191
"166","unite","fam","ITS2",1,"CU","MC",0.365182453629809
"167","unite","fam","ITS2",1,"CU","OC",0.0504705817601409
"168","unite","fam","ITS2",1,"CU","EPQ",0.275264775952761
"169","unite","fam","Full",2,"UTAX","sensitivity",0.585861866738846
"170","unite","fam","Full",2,"UTAX","MC",0.414138133261154
"171","unite","fam","Full",2,"UTAX","OC",0.00660892317408761
"172","unite","fam","Full",2,"UTAX","EPQ",0.297701216093421
"173","unite","fam","Full",2,"CU","sensitivity",0.718049352641314
"174","unite","fam","Full",2,"CU","MC",0.281950647358686
"175","unite","fam","Full",2,"CU","OC",0.071863580998782
"176","unite","fam","Full",2,"CU","EPQ",0.221925771255857
"177","unite","fam","ITS1",2,"UTAX","sensitivity",0.469383319750068
"178","unite","fam","ITS1",2,"UTAX","MC",0.530616680249932
"179","unite","fam","ITS1",2,"UTAX","OC",0.00925925925925926
"180","unite","fam","ITS1",2,"UTAX","EPQ",0.38165741710974
"181","unite","fam","ITS1",2,"CU","sensitivity",0.615394367472607
"182","unite","fam","ITS1",2,"CU","MC",0.384605632527393
"183","unite","fam","ITS1",2,"CU","OC",0.0431947840260799
"184","unite","fam","ITS1",2,"CU","EPQ",0.287059675812732
"185","unite","fam","ITS2",2,"UTAX","sensitivity",0.49591253459148
"186","unite","fam","ITS2",2,"UTAX","MC",0.50408746540852
"187","unite","fam","ITS2",2,"UTAX","OC",0.0101392732386699
"188","unite","fam","ITS2",2,"UTAX","EPQ",0.362959410502848
"189","unite","fam","ITS2",2,"CU","sensitivity",0.644939436555823
"190","unite","fam","ITS2",2,"CU","MC",0.355060563444177
"191","unite","fam","ITS2",2,"CU","OC",0.0429161184956676
"192","unite","fam","ITS2",2,"CU","EPQ",0.265876436316032
"193","unite","fam","Full",3,"UTAX","sensitivity",0.563321446765155
"194","unite","fam","Full",3,"UTAX","MC",0.436678553234845
"195","unite","fam","Full",3,"UTAX","OC",0.00626591951095262
"196","unite","fam","Full",3,"UTAX","EPQ",0.313703515028018
"197","unite","fam","Full",3,"CU","sensitivity",0.710280183392766
"198","unite","fam","Full",3,"CU","MC",0.289719816607234
"199","unite","fam","Full",3,"CU","OC",0.0713194090677534
"200","unite","fam","Full",3,"CU","EPQ",0.227319700167382
"201","unite","fam","ITS1",3,"UTAX","sensitivity",0.458085639740114
"202","unite","fam","ITS1",3,"UTAX","MC",0.541914360259886
"203","unite","fam","ITS1",3,"UTAX","OC",0.0102829078630992
"204","unite","fam","ITS1",3,"UTAX","EPQ",0.39001965957509
"205","unite","fam","ITS1",3,"CU","sensitivity",0.596326802066813
"206","unite","fam","ITS1",3,"CU","MC",0.403673197933187
"207","unite","fam","ITS1",3,"CU","OC",0.0349414232363022
"208","unite","fam","ITS1",3,"CU","EPQ",0.298321262305505
"209","unite","fam","ITS2",3,"UTAX","sensitivity",0.480920951650038
"210","unite","fam","ITS2",3,"UTAX","MC",0.519079048349962
"211","unite","fam","ITS2",3,"UTAX","OC",0.0100281401893067
"212","unite","fam","ITS2",3,"UTAX","EPQ",0.373635931732632
"213","unite","fam","ITS2",3,"CU","sensitivity",0.623811716551548
"214","unite","fam","ITS2",3,"CU","MC",0.376188283448452
"215","unite","fam","ITS2",3,"CU","OC",0.0620107444359171
"216","unite","fam","ITS2",3,"CU","EPQ",0.286423272302014
"217","unite","fam","Full",4,"UTAX","sensitivity",0.598546091526166
"218","unite","fam","Full",4,"UTAX","MC",0.401453908473834
"219","unite","fam","Full",4,"UTAX","OC",0.00943726735274797
"220","unite","fam","Full",4,"UTAX","EPQ",0.289449153867809
"221","unite","fam","Full",4,"CU","sensitivity",0.732174293847164
"222","unite","fam","Full",4,"CU","MC",0.267825706152836
"223","unite","fam","Full",4,"CU","OC",0.0776658638055616
"224","unite","fam","Full",4,"CU","EPQ",0.213494322625043
"225","unite","fam","ITS1",4,"UTAX","sensitivity",0.471398435439923
"226","unite","fam","ITS1",4,"UTAX","MC",0.528601564560077
"227","unite","fam","ITS1",4,"UTAX","OC",0.00977850048343148
"228","unite","fam","ITS1",4,"UTAX","EPQ",0.380366403395321
"229","unite","fam","ITS1",4,"CU","sensitivity",0.646637953766371
"230","unite","fam","ITS1",4,"CU","MC",0.353362046233629
"231","unite","fam","ITS1",4,"CU","OC",0.0346312736222203
"232","unite","fam","ITS1",4,"CU","EPQ",0.262296111201798
"233","unite","fam","ITS2",4,"UTAX","sensitivity",0.532074972436604
"234","unite","fam","ITS2",4,"UTAX","MC",0.467925027563396
"235","unite","fam","ITS2",4,"UTAX","OC",0.0122381477398015
"236","unite","fam","ITS2",4,"UTAX","EPQ",0.337728776185226
"237","unite","fam","ITS2",4,"CU","sensitivity",0.679338478500551
"238","unite","fam","ITS2",4,"CU","MC",0.320661521499449
"239","unite","fam","ITS2",4,"CU","OC",0.0365380374862183
"240","unite","fam","ITS2",4,"CU","EPQ",0.239483383209954
"241","unite","gen","Full",0,"UTAX","sensitivity",0.58881505415676
"242","unite","gen","Full",0,"UTAX","MC",0.41118494584324
"243","unite","gen","Full",0,"UTAX","OC",0.00304822288605743
"244","unite","gen","Full",0,"UTAX","EPQ",0.3528796997065
"245","unite","gen","Full",0,"CU","sensitivity",0.778373874697718
"246","unite","gen","Full",0,"CU","MC",0.221626125302282
"247","unite","gen","Full",0,"CU","OC",0.0973602389806743
"248","unite","gen","Full",0,"CU","EPQ",0.203873855827767
